DynProg 10: ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DynProg 20: ,1,1,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,1,0,2,1,4,4,1,1,2,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DynProg 30: ,1,0,2,1,2,0,7,4,1,4,1,2,4,2,3,1,2,1,1,1,2,1,0,1,1,1,1,1,3,1,1,2,2,1,2,1,1,0,2,2,2,2,0,1,1,1,1,1,2,1,3,3,2,3,1,1,3,5,2,1,2,2,1,0,1,2,0,2,0,0,1,6,2,1,7,2,1,1,1,0,1,2,4,1,1,4,1,1,2,1,2,1,5,2,1,1,0,3,2,3
DynProg 40: ,5,15,6,5,6,12,5,3,22,14,9,8,17,20,5,8,3,20,3,18,19,11,5,4,17,6,13,13,6,8,6,11,7,9,8,6,20,10,20,27,18,12,2,5,16,12,33,6,3,6,11,33,11,8,3,8,5,3,12,13,9,4,4,10,8,20,7,5,13,14,4,2,9,10,11,23,24,8,6,5,21,3,14,7,7,3,11,7,6,11,1,18,3,15,15,9,12,11,16,7
DynProg 50: ,30,31,17,96,53,16,20,58,48,49,40,42,112,9,46,25,127,32,61,124,28,86,12,25,70,39,91,74,32,29,21,24,22,59,9,157,57,105,58,17,47,29,20,72,38,30,46,57,30,70,19,16,60,19,14,40,22,45,19,44,15,28,18,23,35,26,41,27,40,67,16,66,32,47,28,79,27,16,32,127,40,20,29,29,25,39,22,50,36,53,29,40,65,12,76,53,28,63,27,40
DynProg 60: ,74,168,112,414,61,69,79,122,169,30,491,197,48,270,269,92,108,54,500,49,104,35,142,375,252,65,717,166,85,56,381,106,96,349,125,124,378,91,35,70,77,134,86,189,625,1720,55,98,119,273,89,815,33,99,83,142,172,98,60,104,74,140,172,272,102,27,138,82,106,31,85,359,65,131,144,81,122,61,113,104,87,90,72,88,261,260,206,249,916,96,202,134,115,188,146,75,182,121,72,255
DynProg 70: ,534,765,625,227,1189,385,146,78,541,205,687,248,386,403,1387,129,96,1960,422,274,236,629,136,819,779,912,225,523,189,273,349,355,510,216,1310,1752,1976,501,1215,273,815,285,676,232,247,168,1230,595,746,141,722,247,313,197,982,93,282,227,590,255,191,279,190,1748,2149,1123,1134,663,1109,476,333,874,109,1930,1792,1288,320,676,637,196,171,228,147,280,1081,1408,2012,255,1055,69,414,250,170,578,708,346,420,402,95,315
DynProg 80: ,509,171,7697,1340,733,967,5089,1008,1907,348,1380,235,2475,520,1469,3902,486,2421,1383,1328,1723,1071,1200,903,1598,1009,725,2686,1750,722,3942,419,2208,691,717,2116,1104,672,3343,4190,1013,6734,1838,1653,2173,531,558,1628,7925,1217,1172,630,597,726,318,1742,314,1495,528,2319,461,859,3012,854,2418,954,2170,1483,576,1306,690,844,1166,2155,2396,1455,1694,1875,869,645,2825,2876,1217,3013,748,493,2659,525,1062,260,2623,741,860,1840,2504,918,4854,509,1278,920
